,url,id
0,https://www.cdc.gov,0
1,https://www.cdc.gov/publications/,1
2,https://www.cdc.gov/other/language-assistance.html#Chinese,2
3,https://www.cdc.gov/ToolsResources/,3
4,https://www.cdc.gov/other/language-assistance.html#German,4
5,https://www.cdc.gov/flu/symptoms/flu-vs-covid19.htm,5
6,https://www.cdc.gov/vaccines/,6
7,https://www.cdc.gov/other/language-assistance.html#Japanese,7
8,https://www.cdc.gov/ncbddd/adhd/,8
9,https://www.cdc.gov/Budget/,9
10,https://www.cdc.gov/Other/policies.html,10
11,"https://api.addthis.com/oexchange/0.8/forward/linkedin/offer?url=https%3A%2F%2Fwww.cdc.gov%2Findex.htm&title=CDC%20Works%2024/7&description=As%20the%20nation%27s%20health%20protection%20agency,%20CDC%20saves%20lives%20and%20protects%20people%20from%20health,%20safety,%20and%20security%20threats.&via=CDCgov&ct=0&media=https://www.cdc.gov/homepage/images/centers-for-disease-control-and-prevention.png",11
12,https://www.cdc.gov/stltpublichealth/index.html,12
13,https://www.cdc.gov/about/24-7/i-am-cdc/index.html,13
14,https://www.cdc.gov,14
15,https://www.cdc.gov/other/plugins/index.html,14
16,https://www.cdc.gov/other/language-assistance.html#Spanish,15
17,https://www.cdc.gov/flu/pandemic-resources/index.htm,16
18,https://www.cdc.gov/foodsafety/,17
19,"https://api.addthis.com/oexchange/0.8/forward/twitter/offer?url=https%3A%2F%2Fwww.cdc.gov%2Findex.htm&title=CDC%20Works%2024/7&description=As%20the%20nation%27s%20health%20protection%20agency,%20CDC%20saves%20lives%20and%20protects%20people%20from%20health,%20safety,%20and%20security%20threats.&via=CDCgov&ct=0&media=https://www.cdc.gov/homepage/images/centers-for-disease-control-and-prevention.png",18
20,https://www.cdc.gov/about/diversity/diversity.htm,19
21,https://www.cdc.gov/labs,20
22,https://www.cdc.gov/coronavirus/2019-nCoV/index.html,21
23,https://www.cdc.gov/mobile/,22
24,https://www.cdc.gov/other/language-assistance.html#English,23
25,https://www.cdc.gov/other/language-assistance.html#Polish,24
26,https://www.cdc.gov/injury/,25
27,https://www.cdc.gov/other/language-assistance.html#Haitian,26
28,https://www.cdc.gov/other/language-assistance.html#Farsi,27
29,https://www.cdc.gov/prepyourhealth/index.htm,28
30,https://www.cdc.gov/obesity/index.html,29
31,https://www.cdc.gov/media/releases/2020/p1119-millions-use-tobacco.html,30
32,https://www.cdc.gov/other/language-assistance.html#Russian,31
33,https://www.cdc.gov/nCoV,32
34,https://www.cdc.gov/other/language-assistance.html#Arabic,33
